id,code,name,industry,concept,sme,gem,st,hs300,sh50,zz500,pe,outstanding,totals,totalAssets,liquidAssets,timeToMarket,pb,rev,profit,holders
3208,002728,特一药业,中成药,,False,False,False,0.0,False,False,30.82,1.19,2.0,157309.81,44747.15,20140731,3.51,7.23,22.42,23619.0
3209,300229,拓尔思,软件服务,,False,False,False,0.0,False,False,68.58,4.46,4.71,213911.2,99751.27,20110615,3.31,34.1,44.68,40453.0
3210,300736,百华悦邦,通信设备,,False,False,False,0.0,False,False,45.99,0.14,0.54,26685.9,18568.92,20180109,7.68,0.0,0.0,27255.0
3211,300548,博创科技,元器件,,False,False,False,0.0,False,False,38.63,0.34,0.83,65914.06,50107.51,20161012,5.04,12.7,12.59,14105.0
3212,002810,山东赫达,化工原料,,False,False,False,0.0,False,False,39.8,0.51,0.96,107987.32,46122.98,20160826,3.02,13.81,1.86,15722.0
3213,300514,友讯达,通信设备,,False,False,False,0.0,False,False,45.85,0.25,1.0,68944.21,66716.28,20170426,6.26,0.0,0.0,14209.0
3214,002382,蓝帆医疗,医疗保健,,False,False,False,0.0,False,False,33.83,4.84,4.94,178231.0,81726.93,20100402,5.19,19.26,7.7,17636.0
3215,000055,方大集团,其他建材,,False,False,False,0.0,False,False,17.84,6.78,11.84,697104.13,578643.63,19960415,3.5,17.89,216.15,59052.0
3216,300623,捷捷微电,半导体,,False,False,False,0.0,False,False,32.35,0.24,0.94,133111.38,91724.8,20170314,4.09,0.0,0.0,16040.0
3217,600721,百花村,生物制药,,False,False,False,0.0,False,False,31.22,3.03,4.0,275831.75,65173.55,19960626,1.23,-21.98,-34.41,12537.0
3218,300059,东方财富,互联网,,False,False,False,0.39,False,False,90.12,31.88,42.89,3648932.0,3106651.75,20100319,4.15,-17.99,-20.42,235016.0
3219,300275,梅安森,软件服务,,False,False,False,0.0,False,False,51.13,1.2,1.64,94123.28,66822.46,20111102,3.87,119.24,164.16,21600.0
3220,603378,亚士创能,染料涂料,,False,False,False,0.0,False,False,33.41,0.49,1.95,209883.13,146288.27,20170928,2.76,0.0,0.0,49263.0
3221,600892,大晟文化,影视音像,,False,False,False,0.0,False,False,46.96,2.52,5.59,253927.52,75096.8,19960315,3.33,15.88,47.04,16572.0
3222,300722,新余国科,专用机械,,False,False,False,0.0,False,False,59.88,0.2,0.8,43229.96,20194.17,20171110,7.48,0.0,0.0,40001.0
3223,002878,元隆雅图,文教休闲,,False,False,False,0.0,False,False,41.44,0.19,0.77,64056.46,61544.55,20170606,5.62,0.0,0.0,12273.0
3224,300585,奥联电子,汽车配件,,False,False,False,0.0,False,False,36.95,0.73,1.6,62128.11,46551.59,20161229,5.22,34.54,25.02,15157.0
3225,002079,苏州固锝,半导体,,False,False,False,0.0,False,False,44.44,7.26,7.28,194690.72,127804.05,20061116,3.15,57.32,0.37,63474.0
3226,600745,闻泰科技,通信设备,,False,False,False,0.0,False,False,43.3,4.83,6.37,1212884.13,878732.13,19960828,4.66,47.87,743.6,20858.0
3227,002286,保龄宝,食品,,False,False,False,0.0,False,False,66.72,2.88,3.69,201543.63,67737.03,20090828,2.51,20.72,6.7,19289.0
